scientificName,longitude,latitude,pr_ab,dnw,dsm,lst,ndvi,.part
"Gyps africanus Salvadori, 1865",31.124583,-22.457917,1,1.236883283,320.7136841,309.395813,124.1756516,2
"Gyps africanus Salvadori, 1865",31.551418,-25.066984,1,1.344465494,379.4476318,307.95755,128.765564,2
"Gyps africanus Salvadori, 1865",31.756403,-24.972898,1,0.247376651,236.7923737,303.682312,126.2845993,4
"Gyps africanus Salvadori, 1865",31.931859,-25.21166,1,1.493826389,221.0009003,310.3533936,95.01706696,4
"Gyps africanus Salvadori, 1865",31.748223,-24.966934,1,0.494753301,241.1437683,303.9194031,137.508316,1
"Gyps africanus Salvadori, 1865",31.532654,-25.021373,1,0.247376651,321.9941101,307.7313232,134.1286316,4
"Gyps africanus Salvadori, 1865",31.680867,-24.940972,1,0.775286078,268.1847229,307.5478516,138.8716736,5
"Gyps africanus Salvadori, 1865",31.690269,-24.09006,1,1.873126268,266.7503357,306.922821,123.9249496,2
"Gyps africanus Salvadori, 1865",31.016165,-22.700929,1,1.891535878,464.7224426,304.4516907,145.1506195,4
"Gyps africanus Salvadori, 1865",31.5468,-25.093672,1,3.100855827,397.475708,307.464447,129.6991882,2
"Gyps africanus Salvadori, 1865",31.174796,-22.617747,1,2.353706598,435.5323181,310.2394409,98.15625763,4
"Gyps africanus Salvadori, 1865",31.219266,-22.422561,1,0.673762321,217.2498932,309.2867126,100.4070892,1
"Gyps africanus Salvadori, 1865",31.740146,-24.39686,1,2.027572393,311.8785706,309.1411743,83.52946472,1
"Gyps africanus Salvadori, 1865",31.268598,-25.170194,1,4.229166985,602.7000122,303.9559326,146.8214111,4
"Gyps africanus Salvadori, 1865",31.619957,-24.386791,1,3.460195303,409.3981323,304.467865,79.6206665,2
"Gyps africanus Salvadori, 1865",31.637106,-24.983117,1,0.247376651,266.993866,304.6396484,132.6895447,2
"Gyps africanus Salvadori, 1865",31.687262,-24.050926,1,0.839072168,231.7194061,306.9204712,110.3924026,3
"Gyps africanus Salvadori, 1865",31.8705,-24.755122,1,0.334154069,266.6874084,308.9899902,121.700325,3
"Gyps africanus Salvadori, 1865",31.716682,-24.954424,1,0,245.621933,305.3744812,136.2705536,2
"Gyps africanus Salvadori, 1865",31.616405,-24.424364,1,2.47762084,398.9355774,307.6443481,98.28729248,5
"Gyps africanus Salvadori, 1865",31.23621,-23.935317,1,0.226102844,385.4301147,304.9526672,120.41259,3
"Gyps africanus Salvadori, 1865",31.931841,-25.211668,1,1.493826389,221.0009003,310.3533936,95.01706696,3
"Gyps africanus Salvadori, 1865",31.809038,-24.83692,1,2.518557072,318.6510925,306.6190186,126.579895,3
"Gyps africanus Salvadori, 1865",31.544005,-25.112489,1,2.325572968,373.1384583,309.3587036,132.1569672,3
"Gyps africanus Salvadori, 1865",31.716147,-24.953325,1,0,245.621933,305.3744812,136.2705536,5
"Gyps africanus Salvadori, 1865",31.717309,-24.955708,1,0.247376651,243.6426849,305.4176636,132.032135,5
"Gyps africanus Salvadori, 1865",31.790736,-24.60308,1,1.991751671,325.3614807,306.4040222,111.5969925,1
"Gyps africanus Salvadori, 1865",31.592441,-24.992414,1,0.742129922,287.9657593,306.1288452,131.3058777,3
"Gyps africanus Salvadori, 1865",31.950438,-25.189409,1,1.526949048,211.8502655,306.7268372,105.9621887,5
"Gyps africanus Salvadori, 1865",31.544035,-25.112265,1,2.325572968,373.1384583,309.3587036,132.1569672,1
"Gyps africanus Salvadori, 1865",31.716683,-24.954448,1,0.247376651,243.6426849,305.4176636,132.032135,1
"Gyps africanus Salvadori, 1865",31.950714,-25.190059,1,1.334466815,213.4680481,306.8889771,106.4718323,1
"Gyps africanus Salvadori, 1865",31.716395,-24.953789,1,0,245.621933,305.3744812,136.2705536,4
"Gyps africanus Salvadori, 1865",31.779866,-24.39335,1,0.247376651,275.6965637,307.0778809,99.61891937,4
"Gyps africanus Salvadori, 1865",31.610679,-25.299968,1,1.484259844,317.3326416,307.8175354,106.4308395,3
"Gyps africanus Salvadori, 1865",31.883958,-25.34395,1,0.833448589,199.5675659,312.0015259,89.89443207,5
"Gyps africanus Salvadori, 1865",31.219812,-22.928685,1,0.911324739,342.1071472,308.9476624,126.4925079,2
"Gyps africanus Salvadori, 1865",31.607729,-24.393709,1,2.042660713,411.2380981,306.1557312,84.7137146,1
"Gyps africanus Salvadori, 1865",31.616871,-24.428909,1,2.526493549,389.6461487,306.5734253,97.64648438,2
"Gyps africanus Salvadori, 1865",31.604724,-25.309226,1,2.473766565,330.7998352,307.4922791,108.8821945,4
"Gyps africanus Salvadori, 1865",31.738051,-25.336393,1,1.000343442,233.7201691,307.8244324,119.3703995,4
"Gyps africanus Salvadori, 1865",31.581773,-25.347804,1,1.732799649,330.3295898,307.5904541,111.4649963,2
"Gyps africanus Salvadori, 1865",31.737349,-25.33743,1,1.333785653,231.6465302,308.0514526,120.1501694,4
"Gyps africanus Salvadori, 1865",31.737992,-25.336477,1,1.000343442,233.7201691,307.8244324,119.3703995,3
"Gyps africanus Salvadori, 1865",31.528155,-25.464074,1,0.714235306,318.5328064,310.3981628,86.23007202,3
"Gyps africanus Salvadori, 1865",31.612492,-25.297401,1,1.236883283,321.4217224,308.0021973,104.6939774,5
"Gyps africanus Salvadori, 1865",31.528973,-25.463994,1,0.510610104,314.3974609,309.8388367,89.9758606,2
"Gyps africanus Salvadori, 1865",31.265599,-22.424699,1,0.545043886,214.9019318,309.3198242,95.12479401,3
"Gyps africanus Salvadori, 1865",31.881532,-25.348271,1,1.333730578,213.6109772,312.2261047,87.71662903,1
